id_question,kompetensi,pertanyaan,keywords
MLQ4,Machine Learning,Apa itu supervised learning dan bagaimana cara kerjanya?,"klasifikasi, data berlabel, training, testing, prediksi"
MLQ5,Machine Learning,Apa yang dimaksud dengan unsupervised learning dan contohnya?,"mengelompokkan, clustering, label, k means, DBSCAN, Hierarchical"
MLQ6,Machine Learning,Sebutkan beberapa aplikasi machine learning dalam kehidupan sehari-hari.,"sistem rekomendasi, Netflix, YouTube, Spotify, preferensi pengguna, deteksi spam, deteksi penipuan, Gmail Spam Filter, banking system, transaksi mencurigakan, asisten virtual, Google Assistant, Siri, Alexa, natural language processing, NLP, memahami perintah, pengenalan wajah, face unlock, keamanan AI, mobil otonom, self-driving cars, Tesla"
MLQ7,Machine Learning,apa yang dimaksud dengan overfitting dan bagaimana cara menghindarinya?,"data training, generalisasi, early stopping, dropout"
MLQ8,Machine Learning,Apa yang dimaksud dengan underfitting?,"model terlalu sederhana, mempelajari data"
MLQ9,Machine Learning,Jelaskan proses evaluasi model dalam machine learning.,"splitting data, evaluation matrix"
MLQ10,Machine Learning,Apa itu cross-validation dan mengapa itu penting?,"teknik evaluasi, performa model, subset, folds, overfitting"
MLQ11,Machine Learning,Sebutkan beberapa metrik yang digunakan untuk menilai performa model.,"confusion matrix, akurasi, precision, recall, F1-score, AUC-ROC, MSE, RMSE, MAE, R-squared "
MLQ12,Machine Learning,Apa yang dimaksud dengan feature engineering dan bagaimana cara melakukannya?,"feature selection, transformasi fitur, normalisasi, encoding, ekstraksi fitur"
MLQ13,Machine Learning,Bagaimana cara memilih algoritma yang tepat untuk suatu masalah?,"jenis masalah, kebutuhan, tujuan, performa model, data"
MLQ14,Machine Learning,Apa itu reinforcement learning dan contohnya?,"agen, lingkungan, reward, punishment"
MLQ15,Machine Learning,Apa peran data preprocessing dalam machine learning?,"kualitas data, performa model, overfitting"
MLQ16,Machine Learning,Jelaskan konsep ensemble learning dan berikan contohnya.,"teknik machine learning, menggabungkan beberapa model, random forest, xgboost, adaboost"
MLQ17,Machine Learning,Apa perbedaan antara deep learning dan machine learning tradisional?,"feature engineering, kompleksitas model, data "
MLQ18,Machine Learning,Apa tantangan utama dalam implementasi machine learning dalam proyek nyata?,"kualitas data, data tidak bersih, data tidak seimbang, missing values, akurasi model, overfitting, underfitting, data besar, komputasi tinggi, pemilihan algoritma, jenis data, data tidak konsisten"
MLQ19,Machine Learning,Bagaimana cara menangani data yang hilang dalam dataset?,"menghapus data, imputasi,  forward fill, backward fill"
MLQ20,Machine Learning,Apa pentingnya interpretabilitas dalam model machine learning?,"transparansi model, kepercayaan pengguna, deteksi bias, data bias, kepatuhan regulasi, debugging model, analisis kesalahan, pengambilan keputusan otomatis"
NCQ1,Neuro Computing,Apa yang dimaksud dengan neuro computing?,"kecerdasan buatan, otak manusia, jaringan saraf tiruan"
NCQ2,Neuro Computing,Jelaskan struktur dasar dari jaringan saraf tiruan (artificial neural networks).,"input, hidden layer, output, bobot, fungsi aktivasi, backpropagation"
NCQ3,Neuro Computing,Bagaimana cara kerja neuron dalam jaringan saraf?,"input, hidden layer, output, bobot, fungsi aktivasi, backpropagation"
NCQ4,Neuro Computing,Apa yang dimaksud dengan backpropagation dalam konteks jaringan saraf?,"loss, error, chain rule, bobot, gradient descent"
NCQ5,Neuro Computing,Apa tujuan dari fungsi aktivasi dalam jaringan saraf?,"non linearitas, kompleks, keputusan akurat, aktivasi neuron, rentang output, stabilitas perhitungan, aktif"
NCQ6,Neuro Computing,Sebutkan beberapa jenis fungsi aktivasi yang umum digunakan.,"sigmoid, ReLU, tanh, softmax, leaky ReLU"
NCQ7,Neuro Computing,Bagaimana cara melatih jaringan saraf?,"inisialisasi, bobot, bias, forward propagation, fungsi aktivasi, loss calculation, backpropagation, optimisasi, epoch, evaluasi"
NCQ8,Neuro Computing,Apa yang dimaksud dengan learning rate dan pengaruhnya terhadap pelatihan?,"hyperparameter, bobot, loss, backpropagation, konvergen"
NCQ9,Neuro Computing,Apa tantangan dalam melatih jaringan saraf yang dalam (deep neural networks)?,"overfitting, vanishing gradient, data besar, komputasi tinggi, generalisasi, waktu pelatihan"
NCQ10,Neuro Computing,Jelaskan perbedaan antara feedforward dan recurrent neural networks.,"loop, memori, data berurutan"
NCQ11,Neuro Computing,Apa itu convolutional neural networks (CNN) dan aplikasinya?,"arsitektur jaringan saraf, gambar, convolutional layer, feature map, pooling layer, reduksi dimensi, fully connected layer, klasifikasi"
NCQ12,Neuro Computing,Apa yang dimaksud dengan pooling dalam CNN?,"ukuran, dimensi, informasi penting"
NCQ13,Neuro Computing,Apa itu generative adversarial networks (GAN) dan bagaimana cara kerjanya?,"deep learning, generator, discriminator, data palsu, data asli, pembeda data "
NCQ14,Neuro Computing,Sebutkan aplikasi nyata dari neuro computing dalam bidang industri.,"aplikasi industri, solusi berbasis AI, pengenalan wajah, sistem keamanan, biometrik, deteksi suara, pemrosesan bahasa alami, chatbot, customer service otomatis, robotik industri, kontrol otomatis, predictive maintenance, pabrik cerdas, sistem rekomendasi, personalisasi produk, analisis perilaku konsumen, analisis citra medis, diagnosa berbasis AI, radiologi digital, jaringan saraf tiruan, deep learning, computer vision, predictive analytics"
NCQ15,Neuro Computing,Bagaimana perkembangan teknologi neuro computing memengaruhi riset AI saat ini?,"deep learning, convolutional neural networksi, klasifikasi citra, pemrosesan bahasa alami, NLP, decision-making, kompleksitas AI, interpretabilitas model, efisiensi model, arsitektur baru"
NCQ16,Neuro Computing,Apa yang dimaksud dengan dropout dalam konteks pelatihan jaringan saraf?,"teknik regularisasi, overfitting, nonaktif, generalisasi model"
NCQ17,Neuro Computing,Apa itu transfer learning dan bagaimana cara kerjanya?,"model pretrained, fine tuning, feature extraction, efisiensi pelatihan, data terbatas"
NCQ18,Neuro Computing,Sebutkan beberapa alat atau framework yang digunakan untuk neuro computing.,"TensorFlow, PyTorch, Keras"
NCQ19,Neuro Computing,Apa pentingnya regularisasi dalam jaringan saraf?,"overfitting, penalti, bobot"
NCQ20,Neuro Computing,Bagaimana cara menilai performa jaringan saraf setelah pelatihan?,"akurasi, loss, precision, recall, F1-score, confusion matrix, validasi data, data test"
